Rider,Team,poids,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,points,selected
Pogacar Tadej,UAE Team Emirates-XRG,20,13,20,43,0,0,48,13,13,23,43,216,1
del Toro Isaac,UAE Team Emirates-XRG,16,8,40,17,0,0,23,5,5,13,13,124,1
Pedersen Mads,Lidl-Trek,15,7,0,0,35,19,5,17,14,20,5,122,1
Vingegaard Jonas,Team Visma | Lease a Bike,18,23,25,20,0,0,20,0,0,2,14,104,1
Evenepoel Remco,Red Bull-BORA-hansgrohe,17,6,18,13,0,0,17,0,0,9,20,83,0
Merlier Tim,Soudal Quick-Step,16,0,0,0,0,18,0,30,30,0,0,78,0
Seixas Paul,Decathlon CMA CGM Team,17,5,12,17,0,0,16,0,0,6,18,74,0
Ayuso Juan,Lidl-Trek,15,12,9,11,0,0,14,0,0,0,21,67,0
Skjelmose Mattias,Lidl-Trek,11,7,16,10,0,0,13,0,0,0,15,61,1
Lipowitz Florian,Red Bull-BORA-hansgrohe,16,6,5,14,0,0,15,0,0,1,17,58,0
Johannessen Tobias Halland,Uno-X Mobility,10,0,15,16,0,0,3,0,0,20,3,57,1
Girmay Biniam,NSN Cycling Team,11,0,0,0,0,15,0,18,20,0,0,53,0
Philipsen Jasper,Alpecin-Premier Tech,16,4,0,0,0,16,0,16,17,0,0,53,0
Kooij Olav,Decathlon CMA CGM Team,13,5,0,0,0,30,0,0,18,0,0,53,0
Pidcock Tom,Pinarello-Q36.5 Pro Cycling Team,13,0,11,5,0,0,6,0,0,18,12,52,0
Kanter Max,XDS Astana Team,8,0,0,0,0,20,0,17,12,0,0,49,1
Martinez Lenny,Bahrain Victorious,12,2,13,8,0,0,12,0,0,0,11,46,0
van der Poel Mathieu,Alpecin-Premier Tech,14,4,0,0,0,0,0,0,5,35,0,44,0
Baudin Alex,EF Education-EasyPost,8,0,6,10,5,5,0,0,0,17,0,43,1
Wærenskjold Søren,Uno-X Mobility,9,0,0,0,0,11,0,20,10,0,0,41,0
Carapaz Richard,EF Education-EasyPost,14,0,7,18,0,0,0,0,0,0,15,40,0
Godon Dorian,Netcompany INEOS Cycling Team,8,10,0,0,0,6,0,13,7,0,0,36,1
Bernal Egan,Netcompany INEOS Cycling Team,12,15,0,4,0,0,10,0,0,0,6,35,0
Ackermann Pascal,Team Jayco-AlUla,9,1,0,0,0,9,0,9,14,0,0,33,0
Fretin Milan,Cofidis,9,0,0,0,0,13,0,8,11,0,0,32,0
Van Wilder Ilan,Soudal Quick-Step,9,0,8,9,0,0,7,0,0,0,8,32,0
Artz Huub,Lotto-Intermarché,3,0,0,0,0,17,0,14,0,0,0,31,1
Bittner Pavel,Team Picnic PostNL,9,0,0,0,0,5,0,10,16,0,0,31,0
Debruyne Ramses,Alpecin-Premier Tech,7,4,0,0,16,0,0,0,0,4,7,31,0
Træen Torstein,Uno-X Mobility,5,0,0,0,21,8,0,0,0,0,0,29,1
Russo Clément,Groupama-FDJ United,6,3,0,0,0,8,0,5,13,0,0,29,1
Vacek Mathias,Lidl-Trek,7,7,0,0,16,5,0,0,0,0,0,28,0
Jegat Jordan,Team TotalEnergies,10,0,0,7,0,0,9,0,0,12,0,28,0
Quinn Sean,EF Education-EasyPost,5,0,0,0,14,0,0,0,0,11,2,27,1
Van Eetvelt Lennert,Lotto-Intermarché,10,0,10,15,0,0,2,0,0,0,0,27,0
Simmons Quinn,Lidl-Trek,8,7,0,0,20,0,0,0,0,0,0,27,0
Kuss Sepp,Team Visma | Lease a Bike,10,15,0,0,0,0,11,0,0,0,0,26,0
Ganna Filippo,Netcompany INEOS Cycling Team,10,10,0,0,0,0,0,0,0,16,0,26,0
Matthews Michael,Team Jayco-AlUla,9,1,0,0,10,0,0,0,0,14,0,25,0
Pluimers Rick,Tudor Pro Cycling Team,7,0,0,0,0,7,0,3,15,0,0,25,0
Vauquelin Kévin,Netcompany INEOS Cycling Team,13,10,0,0,15,0,0,0,0,0,0,25,0
Piganzoli Davide,Team Visma | Lease a Bike,9,15,0,1,0,0,0,0,0,0,9,25,0
Bauhaus Phil,Bahrain Victorious,9,2,0,0,0,3,0,15,4,0,0,24,0
Turgis Anthony,Team TotalEnergies,7,0,0,0,0,12,0,6,6,0,0,24,0
Gaviria Fernando,Caja Rural-Seguros RGA,8,0,0,0,0,4,0,7,8,0,0,19,0
Yates Adam,UAE Team Emirates-XRG,14,8,3,0,0,0,4,0,0,0,4,19,0
García Raúl,Movistar Team,7,0,0,0,18,0,0,0,0,0,0,18,0
Castrillo Pablo,Movistar Team,8,0,0,0,17,0,0,0,0,0,1,18,0
Berckmoes Jenno,Lotto-Intermarché,8,0,0,0,0,10,0,4,3,0,0,17,0
Frigo Marco,NSN Cycling Team,6,0,0,0,17,0,0,0,0,0,0,17,0
Grégoire Romain,Groupama-FDJ United,10,3,14,0,0,0,0,0,0,0,0,17,0
Hagenes Per Strand,Team Visma | Lease a Bike,8,15,0,0,0,0,0,0,0,0,0,15,0
Armirail Bruno,Team Visma | Lease a Bike,7,15,0,0,0,0,0,0,0,0,0,15,0
Jorgenson Matteo,Team Visma | Lease a Bike,13,15,0,0,0,0,0,0,0,0,0,15,0
Campenaerts Victor,Team Visma | Lease a Bike,7,15,0,0,0,0,0,0,0,0,0,15,0
Affini Edoardo,Team Visma | Lease a Bike,5,15,0,0,0,0,0,0,0,0,0,15,0
Breuillard Nicolas,Team TotalEnergies,3,0,0,0,0,0,0,0,0,13,0,13,1
Voisard Yannis,Tudor Pro Cycling Team,4,0,0,0,0,0,5,0,0,3,5,13,1
Benoot Tiesj,Decathlon CMA CGM Team,8,5,0,3,0,0,0,0,0,5,0,13,0
Arensman Thymen,Netcompany INEOS Cycling Team,12,10,0,2,0,0,0,0,0,0,0,12,0
Van Asbroeck Tom,NSN Cycling Team,7,0,0,0,0,0,0,11,0,0,0,11,0
Molenaar Alex,Caja Rural-Seguros RGA,6,0,5,0,6,0,0,0,0,0,0,11,0
Foss Tobias,Netcompany INEOS Cycling Team,6,10,1,0,0,0,0,0,0,0,0,11,0
Veistroffer Baptiste,Lotto-Intermarché,5,0,0,0,0,5,0,5,0,0,0,10,0
Tarling Joshua,Netcompany INEOS Cycling Team,7,10,0,0,0,0,0,0,0,0,0,10,0
Kwiatkowski Michal,Netcompany INEOS Cycling Team,7,10,0,0,0,0,0,0,0,0,0,10,0
Van Mechelen Vlad,Bahrain Victorious,6,2,0,0,8,0,0,0,0,0,0,10,0
Delettre Alexandre,Team TotalEnergies,5,0,0,0,9,0,0,0,0,0,0,9,0
McNulty Brandon,UAE Team Emirates-XRG,9,8,0,0,0,0,1,0,0,0,0,9,0
Politt Nils,UAE Team Emirates-XRG,7,8,0,0,0,0,0,0,0,0,0,8,0
Großschartner Felix,UAE Team Emirates-XRG,5,8,0,0,0,0,0,0,0,0,0,8,0
Higuita Sergio,XDS Astana Team,8,0,2,6,0,0,0,0,0,0,0,8,0
